,name,username,date,text,comments,retweets,quotes,likes,link
0,Through the lens,@Through54603659,"Feb 17, 2024 · 7:47 AM UTC",Good morning,0,0,0,0,https://twitter.com/Through54603659/status/1758760026326597740#m
1,انصافین,@KamranR40700480,"Feb 17, 2024 · 12:09 AM UTC",🥀اسلام وعلیکم ورحمتہ اللہ وبرکاتہ🥀🌹  رسولِ کریم صلی اللہ علیہ وسلم نے فرمایا صبح کا آغاز صدقہ سے کیا کریں،کیونکہ مصیبت صدقہ سے آگے قدم نہیں بڑھاتی۔  Good Morning Have a good day,283,21,1,317,https://twitter.com/KamranR40700480/status/1758644904584945959#m
2,OBIdient Nation POssible,@NelzvilleTweet,"Feb 17, 2024 · 7:47 AM UTC","@wifisupport1, Good morning. Why is my Internet always problematic. I can't even get a straight 3 days without breaking. Kindly fix my Internet as it has gone berserk again with previously provided details. Thanks",0,0,0,0,https://twitter.com/NelzvilleTweet/status/1758760025105789137#m
3,Muhammad Taqi Hussai,@taqihussain31,"Feb 17, 2024 · 7:47 AM UTC",Assalamualaikum Good Morning 🌞,0,0,0,0,https://twitter.com/taqihussain31/status/1758760024245965142#m
4,Ⓜ️ⒶⓇⒸ ♡,@MHN_Partages,"Feb 17, 2024 · 6:00 AM UTC",Good morning🦋☀️🦋,29,55,0,143,https://twitter.com/MHN_Partages/status/1758733016136815049#m
5,Yvonne Russell,@Rusky129,"Feb 17, 2024 · 7:47 AM UTC",Good morning David 😊,0,0,0,0,https://twitter.com/Rusky129/status/1758760023214154195#m
6,Forced Hodl Brother,@ForcedHodlBro,"Feb 17, 2024 · 6:53 AM UTC",Good morning everyone ❤️  Happy weekend 😊  Yesterday crypto class with the kids was really amazing 👏   The kids are really leaching now👍🏿  And also the new board is really so looking in the  class room 💯  Thank you @coincurrent_ for always fixing what to teach the kids ✔️✅️,13,2,0,16,https://twitter.com/ForcedHodlBro/status/1758746390186938460#m
7,Catturd ™,@catturd2,"Feb 16, 2024 · 11:23 AM UTC",Good morning X.,354,2317,34,10482,https://twitter.com/catturd2/status/1758452131252572454#m
8,Chevy W.,@AChevyWolf,"Feb 17, 2024 · 7:22 AM UTC","Good morning, y'all",6,8,0,31,https://twitter.com/AChevyWolf/status/1758753704818176111#m
9,Githurai Allstars Fc,@GasAllstars,"Feb 17, 2024 · 7:22 AM UTC",GOOD MORNING IT'S MATCH DAY 🔥💥💥  Wanakanairo hizi picha za saa sita mnatoa wapi??   ⚽ Terror Squad Fc 🆚 Githurai AllStars FC  🕜 12 Noon  🏆 Division 2  📍 MYSA GROUNDS KOMAROCK  #TeamNiJamo #kanairofinest #spaceandstyle,0,2,0,1,https://twitter.com/GasAllstars/status/1758753768324190704#m
