,name,username,date,text,comments,retweets,quotes,likes,link
0,Mike Vega,@MiguelV96252760,"Feb 17, 2024 · 7:47 AM UTC",Good Night Dani abrazo grande bendiciones 💪🏻💪🏻💪🏻,0,0,0,0,https://twitter.com/MiguelV96252760/status/1758759993350721805#m
1,s u m m e r 🦦,@natsutoyuuhi,"Feb 17, 2024 · 3:20 AM UTC",여자들이 계속 보수적으로 폐쇄적으로 구는 것 같아 보이는 근본적인 이유가 저거임 여자들은 여자화장실에서 용변 볼 때도 안전하다고 느끼지 못할 정도로 폭력에 시달리고 있으니까...근데 이런 젊은 여성들이 다른 소수자들을 가장 잘 포용하는 세대라는 것도 참 많은 생각 들게 함,1,378,8,317,https://twitter.com/natsutoyuuhi/status/1758692936576033110#m
2,ㅌㅊㅅ응답없음,@goodnight_y0,"Feb 17, 2024 · 7:47 AM UTC",저거 뭐야 찐빵이야?,0,0,0,0,https://twitter.com/goodnight_y0/status/1758759989030912454#m
3,Hikaru Ryuuzaki 🎧💙,@HikaruRyuuzaki_,"Feb 17, 2024 · 7:47 AM UTC","It's okay Kuro, your pals will be waiting for you tomorrow. You can sleep well. Good night!! 😊",0,0,0,0,https://twitter.com/HikaruRyuuzaki_/status/1758759987852271807#m
4,ASTRO Stuffs,@Astrostuffs_TH,"Feb 17, 2024 · 4:00 AM UTC",Get a good night’s sleep.  Available until 18 FEB 10 AM- 9 PM (GMT+7) at  ASTRO Stuffs POP-UP STORE 1F EMSPHERE  #LIVECOLLECTION #ASTROSTUFFSPOPUPSTORE #astrostuffs,1,991,8,1172,https://twitter.com/Astrostuffs_TH/status/1758702815772315908#m
5,duppy,@9inobby,"Feb 17, 2024 · 7:47 AM UTC",Restless 💔 goodnight tho,0,0,0,0,https://twitter.com/9inobby/status/1758759979773751405#m
6,⭐️,@bndriize,"Feb 17, 2024 · 7:47 AM UTC",good night 😻,0,0,0,0,https://twitter.com/bndriize/status/1758759974249889987#m
7,Anne Sagebiel,@AnnieSage,"Feb 17, 2024 · 3:25 AM UTC","Goodnight from Colorado. Every night before I sign off, I post one of my art pieces or photos. This is: The sound of silence. 02/16/24 (By: Anne Sagebiel)",13,15,1,98,https://twitter.com/AnnieSage/status/1758694244493971503#m
8,Gavis Bettel🎩@holoTEMPUS,@gavisbettel,"Feb 17, 2024 · 5:09 AM UTC",have a good... night... a̸̠͓̞̋̉̂l̶̨̓͑̇w̸͈̓a̸̯̘̚y̸̯̹̜̆͛̓s̴̗̒͒ ̴̹̥̈́̃̒w̶̛̲̹̏̓a̶̘̿͑͜ṯ̸͑c̸̛̻͗h̵̦̃͂̀ï̶̱n̵̪̈̂̚g̶̡̟̓ 👁️,134,1313,47,7617,https://twitter.com/gavisbettel/status/1758720304413831375#m
9,NoNo,@_Nono_Yesyes,"Feb 16, 2024 · 11:09 PM UTC",Good night 💚,3,1,1,7,https://twitter.com/_Nono_Yesyes/status/1758629584260468852#m
10,Mir shabanali,@MirShabanali,"Feb 17, 2024 · 7:47 AM UTC",Good afternoon sweet dreams please commentes on my pin pos,0,0,0,0,https://twitter.com/MirShabanali/status/1758759992478572792#m
11,Zaman Akram,@Zaman__Akram,"Feb 17, 2024 · 7:47 AM UTC",اَلسَلامُ عَلَيْكُم وَرَحْمَةُ اَللهِ وَبَرَكاتُهُ ❤️   بے شک اللہ ہر چیز پر قادر ہے ✨️❤️  Good Afternoon Precious Humans ❤️,0,0,0,0,https://twitter.com/Zaman__Akram/status/1758759991299698712#m
12,Khawaja Mubasher,@Mubasherkh69,"Feb 17, 2024 · 7:47 AM UTC",Good afternoon,0,0,0,0,https://twitter.com/Mubasherkh69/status/1758759981761929565#m
13,Muhammad Waheed,@IM___Waheed,"Feb 17, 2024 · 7:47 AM UTC",وعلیکم السلام ورحمتہ اللہ وبرکاتہ۔ Good afternoon 🔙,0,0,0,0,https://twitter.com/IM___Waheed/status/1758759980134801876#m
14,Imran Hassan,@ImranHassan234,"Feb 17, 2024 · 7:47 AM UTC",Good afternoon,0,0,0,0,https://twitter.com/ImranHassan234/status/1758759978481987793#m
15,𝕎𝕒𝕣𝕚𝕤 𝔸𝕝𝕚,@Seowaris,"Feb 17, 2024 · 7:47 AM UTC",Good afternoon,0,0,0,0,https://twitter.com/Seowaris/status/1758759976036626482#m
16,SAAD 🇵🇰,@HSaad711,"Feb 17, 2024 · 7:47 AM UTC",Good afternoon 🌞,0,0,0,0,https://twitter.com/HSaad711/status/1758759974463848559#m
17,PTI Oversees,@ptioversees,"Feb 17, 2024 · 7:47 AM UTC",Good afternoon ..🔙🔙💕.🌴🌴🌴,0,0,0,0,https://twitter.com/ptioversees/status/1758759974384091531#m
18,pattythree,@patty3_info,"Feb 17, 2024 · 6:00 AM UTC",🧸ˎˊGood afternoon .ᐟ  #いつぬい と一緒に 楽しいおやつタイム🍬ˎˊ˗  Eden／2wink／UNDEAD 予約期間は 〖2/21(水) 正午12:00〗まで🪄  お忘れのないよう、ご注意ください。   ~~~~~~~~~~~~~~~~~~~ ⇣ご予約はこちら🍽 https://pattythree-shop-product.jp/products/pt-000441,1,553,85,1924,https://twitter.com/patty3_info/status/1758733012043514288#m
19,Rizwan Ahmed,@Rizwanahmed4050,"Feb 17, 2024 · 7:47 AM UTC",#BoycottPSL Aslam O Alykum Good Afternoon X Family  stay blessed ❤❤,0,0,0,0,https://twitter.com/Rizwanahmed4050/status/1758759969774583856#m
20,Mr. Nuamah🇬🇭🦋😌💯.,@kojo_griezzy,"Feb 17, 2024 · 7:41 AM UTC",Good morning my beautiful Twitter people .   Twa bet wai !,1,5,0,5,https://twitter.com/kojo_griezzy/status/1758758473544651195#m
21,Travladd Crypto,@OfficialTravlad,"Feb 17, 2024 · 2:11 AM UTC","Good morning, my $TET and $KAS bags printing 🤑  Given away $500 to followers I have seen engaging a lot, going to do $1,500 more!",390,313,2,539,https://twitter.com/OfficialTravlad/status/1758675511339794895#m
22,ZintleZee,@MofokengZintle,"Feb 17, 2024 · 7:43 AM UTC",Good morning world🌅🧲.  Happy Saturday to you all🤗🧡. Today is Day 27 of 72 and Zintle Zee is up and ready to continue her reign👸🏽💪🏽.  Are you ready to PARTY WITH ZINTLEZEE and witness how ZEE THE LIFE OF THE PARTY?💃💃💃💃🪩.  Let’s continue growing with Zintle Zee also:  https://linktr.ee/zintlezeelinks?utm_source=linktree_admin_share&fbclid=PAAab7j2uXnxMJbg6mO4_hNGim_ODFJncGVbJf3ZhOl_HdPNbbxyVT1cokhD8_aem_ATR17obrsIjT_aeHbRaGlLgF2cFL2hISM35bsrOVZzGhd1Z1iVw5-ZLEdtM-gQ1YjPE #ZintleMofokeng #ZintleZee #BBMzansi  Credit: @BBMzansi  No copyright infringement intended.,4,14,0,55,https://twitter.com/MofokengZintle/status/1758759058809454653#m
23,joe mclaughlin,@joemclaughlin9,"Feb 17, 2024 · 7:47 AM UTC",Good morning,0,0,0,0,https://twitter.com/joemclaughlin9/status/1758759992679616922#m
24,Emz 🎙️🍓,@emzberry,"Feb 15, 2024 · 4:00 PM UTC",Good morning 💀,16,364,3,1910,https://twitter.com/emzberry/status/1758159396742349215#m
25,Victor,@victorpazubuike,"Feb 17, 2024 · 7:47 AM UTC",An Igbo proverb that I love:   “Mgbe onye ji tete ụra bụ ụtụtụ ya.” / “When you wake up that is your morning.”  Your beginning starts whenever you are ready; it's a personal race. Good Morning 🙏🏾,0,0,0,0,https://twitter.com/victorpazubuike/status/1758759990171508856#m
26,Sandro,@RomainSandro,"Feb 17, 2024 · 6:20 AM UTC",Good morning dears! #photos #photography #morning #friends gooses,2,11,1,37,https://twitter.com/RomainSandro/status/1758738131988234342#m
27,Luca_Joker,@Luca_Arthur_,"Feb 17, 2024 · 5:52 AM UTC",Prayer is the oxygen of the soul.  Good morning.,7,14,0,27,https://twitter.com/Luca_Arthur_/status/1758731036391842006#m
28,Tinted Cravings,@tintedcravings,"Feb 17, 2024 · 6:28 AM UTC","A strong relationship is built not just on love but on the foundation of shared dreams, laughter, and the strength to weather any storm together  Good morning",9,7,1,22,https://twitter.com/tintedcravings/status/1758740119710761402#m
29,2ToTango,@2totango777,"Feb 17, 2024 · 7:47 AM UTC","Good morning, X world !  As the sun gently stretches its golden rays across the sky, I hope this message finds you in a moment of calm and serenity. Take a deep breath, allowing the crisp morning air to fill your lungs with renewed energy. Picture the world waking up around you, nature unfolding its beauty with every passing second.  As you sip your morning Coffee ☕️ let it be a moment of reflection and gratitude. 🙏🏻💐  Wishing you a truly relaxing and beautiful morning! #goodmorning #gratitude #BeKindAlways",0,0,0,0,https://twitter.com/2totango777/status/1758759987621331255#m
